id;data_pagamento;data_vencimento;valor_planejado;valor_pago;periodicidade;quantidade_parcelas;moeda;descricao;categoria_financeiro
1;2021-02-24;2021-02-24;22212;59460;36177;14190;EURO;Belarussian Ruble monitor Granite;DESPESA
2;2021-02-25;2021-02-24;79771;69480;40303;73938;KWANZA;Iowa Sleek Rubber Shirt;DESPESA
3;2021-02-24;2021-02-25;37728;40777;19699;93580;REAL;digital e-enable;DESPESA
4;2021-02-25;2021-02-25;66557;59701;62641;47951;DOLAR;Sudanese Pound tan;DESPESA
5;2021-02-24;2021-02-24;52575;97828;70315;79300;KWANZA;Comoro Franc CSS;DESPESA
6;2021-02-24;2021-02-24;31675;40304;38647;52576;DOLAR;hack;RECEITA
7;2021-02-24;2021-02-24;86122;35577;98847;10440;DOLAR;relationships Metal;DESPESA
8;2021-02-25;2021-02-24;11443;40326;66732;33417;DOLAR;Dynamic generate Cambridgeshire;DESPESA
9;2021-02-24;2021-02-24;17556;74323;57951;12786;REAL;Handmade Metal Pizza Internal;DESPESA
10;2021-02-24;2021-02-24;75314;13331;3817;96013;DOLAR;Liberian Dollar Kids;RECEITA
