id;nome;moeda;valor_estimado;dt_ass_contrato;descricao
1;Buckinghamshire Rapid quantifying;EURO;49154;2021-02-25;../fake-data/blob/hipster.txt
2;payment;REAL;14692;2021-02-24;../fake-data/blob/hipster.txt
3;Trace utilisation;EURO;43129;2021-02-25;../fake-data/blob/hipster.txt
4;navigate yellow IB;EURO;89338;2021-02-24;../fake-data/blob/hipster.txt
5;Licensed circuit synthesizing;KWANZA;47372;2021-02-25;../fake-data/blob/hipster.txt
6;Developer Consultant;EURO;49964;2021-02-24;../fake-data/blob/hipster.txt
7;Botswana Cross-platform;DOLAR;18078;2021-02-25;../fake-data/blob/hipster.txt
8;array Shirt;REAL;25275;2021-02-24;../fake-data/blob/hipster.txt
9;Sleek Plastic Mouse wireless;DOLAR;32554;2021-02-25;../fake-data/blob/hipster.txt
10;Directives Graphical User Interface;EURO;517;2021-02-25;../fake-data/blob/hipster.txt
